model_name,pred_len,dataset,mae,mse,rmse,mape,mspe,exp_name,lookback_len,pwindow,pconstructor,mae_identity,mse_identity,rmse_identity,mape_identity,mspe_identity,exp_name_identity,lookback_len_identity,mse_diff,improvement
PatchTST,96,Weather,0.026700076,0.001318031,0.036304697,0.65093553,2.1035511,long_term_forecast_96_96Weather_w1251_ipfarm.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1251,ipfarm.csv,0.028645243,0.0015979261,0.039974067,0.6134257,1.4026517,long_term_forecast_96_96Weather.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,0.0002798950999999999,17.516147962036534
iTransformer,96,Weather,0.02692907,0.0013191027,0.036319453,0.6393109,1.8985554,long_term_forecast_ETTh1_96_96Weather_w501_prollcorr.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,501,prollcorr.csv,0.027598763,0.0013943221,0.037340622,0.6624183,2.0352721,long_term_forecast_ETTh1_96_96Weather.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,7.521939999999999e-05,5.394693234798472
iTransformer,96,Weather,0.026840305,0.0013193506,0.036322866,0.64111596,1.9437184,long_term_forecast_ETTh1_96_96Weather_w1501_prollcorr.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1501,prollcorr.csv,0.027598763,0.0013943221,0.037340622,0.6624183,2.0352721,long_term_forecast_ETTh1_96_96Weather.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,7.497150000000002e-05,5.376913985656544
TimeXer,96,Weather,0.026908314,0.0013197099,0.036327813,0.64686376,1.9939603,long_term_forecast_96_96Weather_w751_ipmutual_info.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,751,ipmutual_info.csv,0.026967937,0.0013344327,0.036529887,0.6426478,1.9507748,long_term_forecast_96_96Weather.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1.4722800000000055e-05,1.103300301319059
PatchTST,96,Weather,0.02676945,0.0013199938,0.036331717,0.64930576,2.069397,long_term_forecast_96_96Weather_w1001_ipfarm.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1001,ipfarm.csv,0.028645243,0.0015979261,0.039974067,0.6134257,1.4026517,long_term_forecast_96_96Weather.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,0.00027793229999999993,17.393313745860958
TimeXer,96,Weather,0.026680129,0.0013211563,0.036347713,0.64516705,2.0462158,long_term_forecast_96_96Weather_w1501_ipfarm.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1501,ipfarm.csv,0.026967937,0.0013344327,0.036529887,0.6426478,1.9507748,long_term_forecast_96_96Weather.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1.327639999999992e-05,0.9949096721026035
TimeXer,96,Weather,0.026747039,0.0013228017,0.03637034,0.6399794,1.949394,long_term_forecast_96_96Weather_w501_pfarm.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,501,pfarm.csv,0.026967937,0.0013344327,0.036529887,0.6426478,1.9507748,long_term_forecast_96_96Weather.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1.1631000000000011e-05,0.8716063387835155
TimeXer,96,Weather,0.02682234,0.0013234206,0.03637885,0.6319612,1.9806739,long_term_forecast_96_96Weather_w1501_pmutual_info.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1501,pmutual_info.csv,0.026967937,0.0013344327,0.036529887,0.6426478,1.9507748,long_term_forecast_96_96Weather.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1.1012099999999948e-05,0.8252270796421542
iTransformer,96,Weather,0.026866894,0.0013234564,0.03637934,0.6394729,1.832938,long_term_forecast_ETTh1_96_96Weather_w751_ipmutual_info.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,751,ipmutual_info.csv,0.027598763,0.0013943221,0.037340622,0.6624183,2.0352721,long_term_forecast_ETTh1_96_96Weather.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,7.086570000000006e-05,5.0824483094688135
TimeXer,96,Weather,0.02689796,0.0013238002,0.036384065,0.6378033,1.940317,long_term_forecast_96_96Weather_w1001_pfarm.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1001,pfarm.csv,0.026967937,0.0013344327,0.036529887,0.6426478,1.9507748,long_term_forecast_96_96Weather.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,96,1.0632499999999956e-05,0.7967805345297636
