,mae,mse,rmse,mape,mspe,exp_name,model_name,features_powerset,pred_len,dataset
0,0.3066548,0.14402434,0.3795054,0.2247287,0.07165148,long_term_forecast_96_96powerset_HUFL_MUFL_LULL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['HUFL', 'MUFL', 'LULL']",96,ETTh1
0,0.2987063,0.14425354,0.37980723,0.21712142,0.0700958,long_term_forecast_192_96powerset_HUFL_LUFL_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['HUFL', 'LUFL', 'LULL']",192,ETTh1
0,0.29895794,0.14533876,0.38123322,0.21814437,0.07161668,long_term_forecast_192_96powerset_HUFL_MUFL_LUFL_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['HUFL', 'MUFL', 'LUFL', 'LULL']",192,ETTh1
0,0.30986542,0.14913356,0.38617814,0.22497305,0.07223957,long_term_forecast_192_96powerset_HUFL_MUFL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,"['HUFL', 'MUFL']",192,ETTh1
0,0.30626974,0.14946015,0.38660076,0.22334506,0.07345211,long_term_forecast_192_96powerset_HUFL_MUFL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['HUFL', 'MUFL']",192,ETTh1
0,0.30447406,0.14970076,0.38691184,0.22117735,0.072571136,long_term_forecast_192_96powerset_MUFL_LUFL_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,"['MUFL', 'LUFL', 'LULL']",192,ETTh1
0,0.3157169,0.15029562,0.3876798,0.22692275,0.07024929,long_term_forecast_96_96powerset_HUFL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,['HUFL'],96,ETTh1
0,0.30912387,0.15351313,0.39180753,0.21747842,0.06860431,long_term_forecast_336_96powerset_LULL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,['LULL'],336,ETTh1
0,0.3172581,0.15674494,0.39591026,0.22583024,0.07121734,long_term_forecast_192_96powerset_HUFL.csv_CNN_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,CNN,['HUFL'],192,ETTh1
0,0.3165768,0.1573495,0.39667302,0.23219596,0.07912844,long_term_forecast_192_96powerset_HUFL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,['HUFL'],192,ETTh1
0,0.32487875,0.16091806,0.40114594,0.23792069,0.0825186,long_term_forecast_336_96powerset_HUFL.csv_MLP_ETTh1_ftMS_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,MLP,['HUFL'],336,ETTh1
