,mae,mse,rmse,mape,mspe,exp_name,model_name,pred_len,lookback_len,pwindow,pconstructor,dataset
0,0.02676945,0.0013199938,0.036331717,0.64930576,2.069397,long_term_forecast_96_96Weather_w1001_ipfarm.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,PatchTST,96,96,1001,ipfarm.csv,Weather
0,0.026680129,0.0013211563,0.036347713,0.64516705,2.0462158,long_term_forecast_96_96Weather_w1501_ipfarm.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,1501,ipfarm.csv,Weather
0,0.027060002,0.0013216246,0.036354154,0.61984557,1.7994453,long_term_forecast_96_96Weather_w1251_psmoothrandomwalk.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,1251,psmoothrandomwalk.csv,Weather
0,0.026747039,0.0013228017,0.03637034,0.6399794,1.949394,long_term_forecast_96_96Weather_w501_pfarm.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,501,pfarm.csv,Weather
0,0.02682234,0.0013234206,0.03637885,0.6319612,1.9806739,long_term_forecast_96_96Weather_w1501_pmutual_info.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,1501,pmutual_info.csv,Weather
0,0.026866894,0.0013234564,0.03637934,0.6394729,1.832938,long_term_forecast_ETTh1_96_96Weather_w751_ipmutual_info.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,751,ipmutual_info.csv,Weather
0,0.027068889,0.0013236986,0.036382668,0.6205506,1.8064835,long_term_forecast_96_96Weather_w1001_psmoothrandomwalk.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,1001,psmoothrandomwalk.csv,Weather
0,0.02689796,0.0013238002,0.036384065,0.6378033,1.940317,long_term_forecast_96_96Weather_w1001_pfarm.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,1001,pfarm.csv,Weather
0,0.026766451,0.0013238742,0.03638508,0.633993,1.8020086,long_term_forecast_ETTh1_96_96Weather_w1001_ipentropy.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,1001,ipentropy.csv,Weather
0,0.026808415,0.0013241246,0.036388524,0.6524966,2.0852218,long_term_forecast_96_96Weather_w1001_pentropy.csv_PatchTST_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,PatchTST,96,96,1001,pentropy.csv,Weather
0,0.02707152,0.0013242908,0.036390807,0.62081295,1.8094395,long_term_forecast_96_96Weather_w751_psmoothrandomwalk.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,751,psmoothrandomwalk.csv,Weather
0,0.026779523,0.001324808,0.03639791,0.63640565,1.8328791,long_term_forecast_ETTh1_96_96Weather_w1001_pentropy.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,1001,pentropy.csv,Weather
0,0.026784778,0.0013254612,0.036406882,0.6338703,1.9636853,long_term_forecast_ETTh1_96_96Weather_w1001_pmutual_info.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,1001,pmutual_info.csv,Weather
0,0.02678415,0.0013257765,0.036411215,0.6324638,1.770343,long_term_forecast_ETTh1_96_96Weather_w751_ipentropy.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,751,ipentropy.csv,Weather
0,0.027076196,0.0013259804,0.036414012,0.62025094,1.7945629,long_term_forecast_96_96Weather_w501_psmoothrandomwalk.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,501,psmoothrandomwalk.csv,Weather
0,0.026787259,0.0013273634,0.036433,0.6356446,1.9679663,long_term_forecast_96_96Weather_w1251_pmutual_info.csv_TimeXer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,TimeXer,96,96,1251,pmutual_info.csv,Weather
0,0.026879964,0.0013288897,0.03645394,0.6124623,1.5851996,long_term_forecast_ETTh1_96_96Weather_w1501_iprollcorr.csv_iTransformer_Weather_ftMS_sl96_ll48_pl96_dm512_nh8_el3_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,iTransformer,96,96,1501,iprollcorr.csv,Weather
