model_name,pred_len,dataset,mse,pwindow,pconstructor,mse_identity,mse_diff,improvement
iTransformer,96,ETTh2,0.13468318,501,prollcov.csv,0.13711844,0.0024352599999999947,1.7760266234067383
iTransformer,192,ETTm2,0.11807397,1251,ipmutual,0.12018147,0.0021074999999999983,1.7535981212411518
TimeXer,96,ETTm2,0.066628434,1251,ipfarm.csv,0.06781768,0.001189246000000005,1.7535928684083633
iTransformer,96,ETTh2,0.13473962,501,iprollcorr.csv,0.13711844,0.0023788200000000037,1.7348651282788834
TimeXer,96,ETTh2,0.14180557,751,iprollcov.csv,0.14430724,0.0025016700000000114,1.733572064714155
TimeXer,96,ETTm2,0.06664601,751,prollcov.csv,0.06781768,0.0011716699999999997,1.7276763227524143
iTransformer,96,ETTh2,0.13475752,1001,prollcov.csv,0.13711844,0.0023609200000000163,1.7218107207170794
TimeXer,96,ETTh2,0.14184473,1001,iprollcov.csv,0.14430724,0.002462510000000001,1.7064355191049325
iTransformer,96,ETTm2,0.074535765,501,iprollcov.csv,0.0758165,0.0012807349999999912,1.6892562964526077
TimeXer,96,ETTh2,0.14187032,501,ipfarm.csv,0.14430724,0.002436920000000009,1.6887025210931959
iTransformer,96,ETTm2,0.074544296,1501,ipfarm.csv,0.0758165,0.001272203999999999,1.678004128388938
TimeXer,96,ETTh2,0.14190656,501,pfarm.csv,0.14430724,0.002400680000000016,1.6635894359839576
iTransformer,96,ETTh1,0.05772086,1251,pmutual,0.058687977,0.0009671170000000034,1.6478962973966598
TimeXer,96,ETTm2,0.06671581,1251,iprollcov.csv,0.06781768,0.0011018700000000048,1.6247533091665842
TimeXer,96,ETTm2,0.06671645,1501,ipentropy.csv,0.06781768,0.0011012300000000086,1.6238096024517625
iTransformer,96,ETTh2,0.13495128,1001,prollcorr.csv,0.13711844,0.0021671600000000013,1.5805022285842816
iTransformer,96,ETTh2,0.13496874,501,ipfarm.csv,0.13711844,0.0021497000000000044,1.5677687114876775
iTransformer,96,ETTm2,0.07464604,1501,iprollcorr.csv,0.0758165,0.0011704599999999982,1.5438064273607963
iTransformer,192,ETTh2,0.19097327,1001,ipmutual,0.19396114,0.0029878700000000036,1.540447741233117
iTransformer,96,Weather,0.0013729243,501,iprollcov.csv,0.0013943221,2.139779999999988e-05,1.5346382302912562
iTransformer,96,Weather,0.0013731573,751,prollcov.csv,0.0013943221,2.1164800000000004e-05,1.5179276008032867
iTransformer,96,ETTm1,0.029946666,1501,ipmutual,0.030397011,0.0004503450000000013,1.4815436952008252
iTransformer,192,ETTm2,0.118411094,751,ipfarm.csv,0.12018147,0.001770376000000004,1.4730856595446902
iTransformer,192,ETTm2,0.11844664,1001,prollcov.csv,0.12018147,0.0017348299999999928,1.4435087206039274
iTransformer,96,ETTm1,0.029960724,1001,prollcorr.csv,0.030397011,0.0004362870000000005,1.4352957269384166
iTransformer,96,ETTm1,0.029963851,751,iprollcov.csv,0.030397011,0.0004331600000000019,1.425008531266452
iTransformer,96,ETTm1,0.029965686,751,ipmutual,0.030397011,0.00043132500000000323,1.418971753505643
TimeXer,96,ETTh2,0.14226593,751,ipmutual,0.14430724,0.0020413099999999906,1.4145582716431904
iTransformer,96,ETTm1,0.02996926,1501,ipfarm.csv,0.030397011,0.0004277510000000005,1.4072140185099136
iTransformer,96,ETTh2,0.13522878,1251,pmutual,0.13711844,0.0018896600000000152,1.378122446550599
TimeXer,96,ETTh2,0.14231981,751,iprollcorr.csv,0.14430724,0.0019874300000000122,1.3772212676231714
iTransformer,192,ECL,0.31234425,1251,prollcorr.csv,0.3166597,0.0043154499999999985,1.3628036658911755
iTransformer,192,ETTh2,0.19132487,751,pfarm.csv,0.19396114,0.002636269999999996,1.3591743170822754
